Usuario;Coorporativa;soyvaldiviacl;latercera;elmostrador
eduardoatenas2;0.333333;0;0.333333;0.333333
seminarioancest;0;1;0;0
finanzaspymes;0;1;0;0
CaroGalarce1;0.244643;0.210714;0.3;0.244643
ricardo77669680;1;0;0;0
calatrava_de;0.213776;0.298469;0.243878;0.243878
elizabethceci89;0;1;0;0
millaraysanch17;1;0;0;0
jessroj40083887;0.298469;0.259694;0.220918;0.220918
inalazobkn;0.205357;0.241071;0.258929;0.294643
CarmenV85236666;0;1;0;0
CarolGa65393875;1;0;0;0
Daniela_a88a;0;1;0;0
Fernand08330234;0.289286;0.236905;0.289286;0.184524
Jannic1985;0;1;0;0
Matias88643370;0.5;0;0;0.5
aletopito;0.207983;0.283613;0.205882;0.302521
Leon_Cata;0;0;0;1
reir24;0.21875;0.267113;0.212798;0.301339
Antonio10269661;0.5;0;0;0.5
AndrsS92555484;0.3;0.247619;0.22619;0.22619
yaquelinsubiab1;0;1;0;0
cabohitman;0;0.325;0;0.675
ValitaCristi;0.255952;0.27381;0.166667;0.303571
Glaucia46948914;0.178571;0.25;0.285714;0.285714
wernervolgger;0;1;0;0
Marian35562363;0.27551;0.173469;0.27551;0.27551
ConstitucionDi1;0;0.75;0;0.25
ctoledogalaz;0;0;0;1
Cecilia73390981;0;0;0;1
treskita;0;1;0;0
JuanPab89803067;0.3;0.257143;0.214286;0.228571
MauriAravena_;0.184524;0.236905;0.289286;0.289286
Katheri37036559;0;1;0;0
chile_comics;0.298469;0.229592;0.183673;0.288265
CarMauricioB;0.232887;0.301339;0.224702;0.241071
lamontaita3;0.315789;0.289474;0;0.394737
Martinox22331;0.305357;0.266071;0.1625;0.266071
KvAAvtKcixHEK95;1;0;0;0
Marioty19621;0;0.675;0.325;0
marcoide;0.215659;0.296703;0.26511;0.222527
KarlaAg28940912;0.333333;0;0.333333;0.333333
OrlandoOjedaCo1;1;0;0;0
manuelquiroga4;0.27551;0.229592;0.196429;0.298469
SarmientoUP;0.298469;0.252551;0.15051;0.298469
BarrientosKenna;0;1;0;0
SusanaHermosi12;0.218537;0.298469;0.218537;0.264456
mariais14911956;0;0;1;0
antonio_jar;0.196429;0.298469;0.252551;0.252551
SofiaDe61980167;0;0;0.5;0.5
EnriqueFerradaQ;0.232143;0.294643;0.267857;0.205357
yasni_carrasco;0;1;0;0
alexi_vergara;0.5;0;0.5;0
Paulamatus12;0.28125;0.21875;0.28125;0.21875
Elizabe58209266;0;0;0;1
jagoperu;0.229911;0.301339;0.21875;0.25
NelsonAravena15;0.414474;0.263158;0;0.322368
SamuelM11726775;0;0;0;1
Lil80857718;0;1;0;0
luis_moreira26;0;1;0;0
no_sigomodas;0.277778;0.166667;0.277778;0.277778
AaaaMillaa;0.5;0;0;0.5
Giorgio40208349;0;0;0;1
OscarOlivaRuiz3;0.22619;0.3;0.22619;0.247619
sofiia772;1;0;0;0
clawi09;0.27782;0.304511;0.207519;0.21015
Anais29414993;0.303571;0.241071;0.227679;0.227679
danielaverarey1;0.292208;0.245671;0.292208;0.169913
ConsueloTronc11;0.238909;0.307453;0.196983;0.256655
patricio1408;0.325;0.675;0;0
VivianER02;0.252976;0.294643;0.22619;0.22619
Johana78897673;0.302521;0.270658;0.188025;0.238796
Juan02428919;0.333333;0;0.333333;0.333333
DeformusBlock;0;0;0.25;0.75
ColkineLos;0.248214;0.294643;0.228571;0.228571
Nao_pinedo;1;0;0;0
Tobeornotobe9;0.306391;0.304511;0.18609;0.203008
sergdavis;0;0;0;1
BizamaMarcos;0.24026;0.292208;0.233766;0.233766
toti_caro;0;1;0;0
anonajsndndu;0.22619;0.257143;0.3;0.216667
Ossandon71;0.333333;0;0.333333;0.333333
JoseVel67000562;0;0;0.5;0.5
CamilaLlanquim1;0;1;0;0
Jorge60119837;0.267857;0.196429;0.267857;0.267857
DanielAlcayag15;1;0;0;0
AguayoAtilio;0.25;0.301339;0.21875;0.229911
PameDola;0.214912;0.276629;0.203947;0.304511
Constan31430771;0.302521;0.238796;0.193978;0.264706
rlindab2801;0;0;1;0
vonchicasasg;0.220833;0.277183;0.196627;0.305357
Alberto52954800;0.298469;0.258503;0.144558;0.298469
Fernand35360621;0;0.75;0;0.25
Fernand81453172;0;0;1;0
TraroMaria;0.292208;0.262987;0.193182;0.251623
MatiasM81224229;0.217857;0.275;0.203571;0.303571
Paula56017699;0.221939;0.298469;0.221939;0.257653
Villegasvargas1;0.406015;0;0.296992;0.296992
josselynsch;0.203361;0.302521;0.222269;0.271849
guyr1302;0.267113;0.252976;0.301339;0.178571
CataAchermann;0.234432;0.234432;0.234432;0.296703
Carolit88469134;0.210714;0.263095;0.22619;0.3
CarlosS14325744;0.289286;0.236905;0.236905;0.236905
jabahertz;0;0;0;1
Darling96868660;0.267857;0.196429;0.267857;0.267857
Norida14241623;0.252551;0.22449;0.298469;0.22449
luchinveas;0;0;0;1
Patrici04887481;0.298469;0.201531;0.201531;0.298469
mariaelenabr;0.276786;0.294643;0.214286;0.214286
karin42874763;0.267857;0.196429;0.267857;0.267857
alegon__;0.236813;0.296703;0.22967;0.236813
